City,FAA,IATA,ICAO,Airport_name,Role,Enplanements,latitude,longitude
Star,43A,,,Montgomery County Airport,GA,0,40.75,-93.24
Statesville,SVH,SVH,KSVH,Statesville Regional Airportÿ(was Statesville Municipal Airport),GA,22,35.77,-80.95
Sylva,24A,,,Jackson County Airport,GA,0,40.75,-93.24
Tarboro,ETC,,KETC,Tarboro-Edgecombe Airportÿ(Tarboro-Edgecombe County),GA,0,35.94,-77.55
Wadesboro,AFP,,KAFP,Anson County Airportÿ(Jeff Cloud Field),GA,0,35.02,-80.08
Wallace,ACZ,,KACZ,Henderson Field,GA,0,34.72,-78.00
Washington,OCW,OCW,KOCW,Washington?Warren Airportÿ(Warren Field),GA,12,35.57,-77.05
Whiteville,CPC,,KCPC,Columbus County Municipal Airport,GA,0,34.27,-78.71
Williamston,MCZ,,KMCZ,Martin County Airport,GA,0,35.86,-77.18
Winston-Salem,INT,INT,KINT,Smith Reynolds Airport,GA,691,36.13,-80.22
Bladenboro,3W6,,,Bladenboro Airport,,,34.55,-78.78
Farmville,N08,,,Flanagan Field,,,35.56,-77.56
Fayetteville,2GC,,K2GC,Grays Creek Airport,,,34.89,-78.84
Greensboro,W88,,,Air Harbor Airport,,,36.17,-79.80
Greensboro,3A4,,K3A4,Southeast Greensboro Airport,,,35.94,-79.69
Hendersonville,0A7,,K0A7,Hendersonville Airport,,,35.31,-82.43
Hickory,E40,,,Wilson's Airport,,,35.65,-81.36
Holly Ridge,N21,,,Holly Ridge/Topsail Island Airport,,,34.49,-77.53
Hurdle Mills,4W4,,,Whitfield Farms Airport,,,36.28,-79.08
Indian Trail,28A,,,Goose Creek Airport,,,35.12,-80.59
Jacksonville,N22,,,Sky Manor Airport,,,34.72,-77.59
Jonesville,78A,,,Swan Creek Airport,,,36.20,-80.87
Julian,N88,,,Kecks Airport,,,35.93,-79.63
Knightdale,W17,,9NC0,Raleigh East Airport,,,35.80,-78.44
Liberty,2A5,,K2A5,Causey Airport,,,35.91,-79.62
Liberty,N61,,,Hinshaw (Greenacres) Airport,,,35.87,-79.53
Maiden,N92,,,Laneys Airport,,,35.57,-81.12
Marion,9A9,,,Shiflet Field,,,35.72,-82.01
Mocksville,8A7,,,Twin Lakes Airport,,,35.91,-80.46
Mooresville,14A,,K14A,Lake Norman Airpark,,,35.61,-80.90
Oak Ridge,N83,,,DS Butler Farm and Airfield,,,36.20,-80.01
Plymouth,7NC,,NC7,Donald's Air Park,,,35.73,-76.67
Raeford,5W4,,K5W4,P K Airpark,,,35.02,-79.19
Raleigh,5W5,,K5W5,Triple W Airport,,,35.62,-78.70
Reidsville,6A5,,,Warf Airport,,,36.32,-79.71
Taylorsville,NC2,,4NC3,Taylorsville Airport,,,35.93,-81.20
Thomasville,N97,,,Hiatt Airport,,,35.83,-80.11
Walnut Cove,N63,,,Meadow Brook Field,,,36.30,-80.15
Waxhaw,N52,,KN52,JAARS-Townsend Airport,,,34.86,-80.75
Wilson,W03,,KW03,Wilson Industrial Air Center,,,35.77,-77.97
Winterville,05N,,NC47,South Oaks Aerodrome,,,35.48,-77.36
Yadkinville,80C,,,Lone Hickory Airport,,,36.06,-80.69
Yanceyville,6W4,,,Yanceyville Municipal Airport,,,36.40,-79.39
,,,,Other military airports,,,40.75,-93.24
Atlantic,12NC,,,MCOF Atlantic,,,34.88,-76.35
Camp Mackall,HFF,HFF,KHFF,Mackall Army Airfieldÿ(atÿCamp Mackall),,,35.04,-79.50
Cherry Point,NKT,NKT,KNKT,MCAS Cherry Pointÿ(Cunningham Field),,,34.90,-76.88
Fayetteville,POB,POB,KPOB,Pope Field,,"5,583",35.17,-79.01
Fort Liberty,FBG,FBG,KFBG,"Simmons Army Airfieldÿ(at Fort Liberty, formally Fort Bragg)",,,35.13,-78.94
Goldsboro,GSB,GSB,KGSB,Johnson AFB,,551,35.34,-77.96
Holly Ridge,14NC,,,MCOF Camp Davisÿ(former Camp Davis AAF),,,34.52,-77.55
Jacksonville,NCA,,KNCA,MCAS New Riverÿ(McCutcheon Field),,,34.71,-77.44
Pollocksville,13NC,,,MCOF Oak Grove,,,35.03,-77.26
Swansboro,NJM,,KNJM,MCALF Bogueÿ(Bogue Field),,,34.69,-77.03
Banner Elk,NC06,,,Elk River Airport,,,36.16,-81.90
Brevard,3NR3,,,"Transylvania County Airportÿ(was public-use, FAA: 22W)ÿ[1]",,,35.27,-82.64
Clarkton,2NR2,,1.00E+06,"Elkins Fieldÿ(was public-use, FAA: 1E6)ÿ[2]",,,34.46,-78.62
Corolla,7NC2,DUF,,Pine Island Airport,,,36.25,-75.79
Huntersville,NC05,,,Bradford Field,,,35.41,-80.79
Mocksville,5NC2,,,"Sugar Valley Airportÿ(was public use, FAA: 31A)ÿ[3]",,,34.88,-80.62
Morganton,92NC,,,Grace Hospital Heliport,,"17,122",35.73,-81.65
Pink Hill,NR10,,4W9,Pink Hill Airport,,,35.05,-77.74
Archdale,72A,,AR98,Johnson Fieldÿ(closed 2006?)ÿ[4],,,35.26,-91.19
Chapel Hill,IGX,,KIGX,Horace Williams Airportÿ(closed 2018)ÿ[5],,,35.94,-79.07
Charlotte,9A3,,,Brockenbrough Airportÿ(closed 1986)ÿ[6],,,61.58,-159.22
Charlotte,8A6,QWG,,Wilgrove Air Parkÿ(closed 2020)ÿ[7],,,40.75,-93.24
Mebane,4W7,,,Hurdle Field,,,36.07,-79.28
Potters Hill,6N9,,,Eagles Nest Airport,,,34.98,-77.70
Roanoke Rapids,RZZ,RZZ,KRZZ,Halifax County Airportÿ(closed permanently),GA,,36.44,-77.71
