,Site Type,sample Type,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,Total PFAS,PFAS_Found
1,0,0,469.99122826279256,1305.1358328162644,980.4555710062291,980.4555710062291,1466.2643280598513,10.1,1
2,0,1,426.2511929318984,417.8025977267779,410.2582857452152,410.2582857452152,651.0047904360297,36.0,1
3,0,1,147.29877072543442,129.50476174820008,136.83608154855182,136.83608154855182,339.5013126136305,21.0,1
4,1,3,17.19998538461505,13.636758966198585,8.341159903115171,8.341159903115171,244.7076675748092,0.0,0
5,1,4,18.222551642779788,7.232329810018986,18.5493614901662,18.5493614901662,222.35243950390876,0.0,0
6,1,1,14.570005060514786,1.1464107981554832,14.152820892867396,14.152820892867396,219.7493664253975,0.0,0
7,1,0,28.879272278501546,2.7468204765870166,28.624033566827705,28.624033566827705,212.2571076799896,0.0,0
8,1,3,38.0770488196587,7.589274300493631,0.6356295484043096,0.6356295484043096,201.29443138977103,0.0,0
9,1,4,52.455449716098734,10.665486970477223,9.404269012079519,9.404269012079519,177.90562231264806,6.2,1
10,1,3,57.46117175710634,1.1178952920430147,2.832438195002077,2.832438195002077,173.93522174663718,1.2,1
11,1,3,48.636059774501774,1.3513316445169286,7.829190532956065,7.829190532956065,171.14895850751267,0.0,0
12,3,0,47.70672996633352,16.96692436932732,19.56851257011746,19.56851257011746,179.44521501124518,70.0,1
13,3,3,69.22308023965408,21.93756124885209,34.58176819681538,34.58176819681538,141.9244322635717,0.0,0
14,1,1,43.81600533568569,8.065821297845227,14.462659688045921,14.462659688045921,170.52398028428226,7.1,1
15,1,1,50.19303368578856,12.985751404333127,10.085556089856635,10.085556089856635,153.1029959042642,0.0,0
16,1,1,49.72008223162594,12.67347100974109,9.630167455547387,9.630167455547387,153.12651378486947,0.0,0
17,1,1,37.617553958424885,9.750917883562408,5.3975929713288915,5.3975929713288915,151.87474823100374,0.0,0
18,4,1,24.871152214457968,14.452332757061157,14.975085069824415,14.975085069824415,143.32173875904482,79.0,1
19,1,1,56.39042721006895,12.499130795232919,14.898168412283344,14.898168412283344,112.4620677210029,0.0,0
20,1,1,21.640727233330377,1.7182924057763973,36.69367646697241,36.69367646697241,160.40967273223177,7.1,1
21,4,1,13.741295153696246,7.565110085054693,29.302669589207202,29.302669589207202,151.53940347848567,15.0,1
22,1,1,9.477870607624663,4.821282450738207,25.0342684628994,25.0342684628994,147.70157098952285,13.0,1
23,3,1,8.37341598597133,3.491703172376225,23.942102286391055,23.942102286391055,146.23419294471321,7.1,1
24,1,4,47.788298834343585,6.214305938229361,3.7360003806015554,3.7360003806015554,101.1930263837061,12.0,1
25,1,4,48.16198164586908,6.609596604269494,4.566237039120919,4.566237039120919,100.17184309835413,0.0,0
26,1,3,28.326146970290242,3.99086106658051,0.9860912315911232,0.9860912315911232,103.18528400240272,0.0,0
27,3,3,5.993940979870324,6.742395430580156,3.676147421336074,3.676147421336074,124.58421233331183,12.0,1
28,1,1,17.272989152981385,8.43377242906324,3.1492974807070575,3.1492974807070575,107.63152243694302,1.7,1
29,1,1,42.98484549896126,9.53448267092739,11.847967580059114,11.847967580059114,92.81024900821927,2.7,1
30,4,1,29.56529262054157,7.4695754014120155,2.899630481330694,2.899630481330694,99.231068643223,79.0,1
31,1,1,21.961807455455975,8.75775769704112,7.485177348830419,7.485177348830419,101.70150574987836,0.0,0
32,1,1,50.17053767032759,20.327304531917836,12.693397485983887,12.693397485983887,83.31837950988185,1.2,1
